Date,BTC,LTC,ETH,BCH,NEO,DASH,XRP,dr_BTC,dr_LTC,dr_ETH,dr_BCH,dr_NEO,dr_DASH,dr_XRP
2020-03-25,6595.62,38.85,135.25,218.86,6.888,66.848,0.15986,-0.023151864501165575,-0.03502235469448578,-0.033238027162258765,-0.03415710503089131,0.0029120559114734768,-0.03642522522522529,-0.01697208215471646
2020-03-26,6745.0,39.39,136.65,224.94,6.867,67.656,0.16525,0.02264836361100242,0.013899613899613916,0.010351201478743022,0.027780316183861675,-0.0030487804878048808,0.012087123025371183,0.033717002377080085
2020-03-27,6682.0,40.07,137.54,225.45,6.854,70.68,0.18307,-0.009340252038547048,0.01726326478801732,0.00651298938894973,0.0022672712723392774,-0.0018931119848550892,0.04469670095778655,0.10783661119515875
2020-03-28,6245.95,39.07,130.98,214.95,6.6581,64.918,0.177,-0.06525740796168811,-0.024956326428749676,-0.047695215937181956,-0.04657351962741185,-0.028581850014590016,-0.08152235427277876,-0.03315671601026937
2020-03-29,5953.7,37.43,125.68,207.1,6.221,61.3596,0.16526,-0.04679032012744255,-0.04197594061940113,-0.040464193006565785,-0.036520120958362434,-0.06564935942686356,-0.054813765057457164,-0.0663276836158192
2020-03-30,6464.77,39.18,134.07,224.13,6.675,66.875,0.17373,0.08584073769252742,0.04675394068928673,0.06675684277530225,0.08223080637373248,0.07297862080051432,0.08988650512715202,0.05125257170519193
2020-03-31,6474.1,39.12,134.35,221.92,6.8387,65.93,0.17768,0.001443206796220009,-0.0015313935681470214,0.0020884612515850165,-0.009860348904653593,0.024524344569288425,-0.014130841121495208,0.022736430092672677
2020-04-01,6350.03,37.95,131.93,217.86,6.6224,63.8912,0.1734,-0.019164053690860605,-0.029907975460122582,-0.018012653516933264,-0.018294881038211863,-0.03162881834266751,-0.030923706961929476,-0.024088248536695223
2020-04-02,6739.55,39.77,140.5,231.64,6.915,67.5104,0.17688,0.061341442481374076,0.04795783926218711,0.06495869021450762,0.06325162948682617,0.044183377627446285,0.056646298707803355,0.02006920415224922
2020-04-03,6706.9,40.28,140.58,235.07,7.006,67.566,0.178,-0.00484453709817434,0.012823736484787407,0.000569395017793628,0.014807459851493787,0.013159797541576257,0.0008235768118689535,0.006331976481230184
2020-04-04,6837.18,40.47,143.62,237.01,7.186,68.246,0.1802,0.019424771503973703,0.004716981132075304,0.0216246976810357,0.008252860849959687,0.025692263773908097,0.01006423349021679,0.012359550561797716
2020-04-05,6759.61,40.28,142.56,230.28,6.969,66.604,0.17839,-0.011345320731646735,-0.0046948356807511304,-0.00738058766188554,-0.028395426353318376,-0.03019760645699965,-0.024060018169563047,-0.010044395116537208
2020-04-06,7227.9,44.05,163.99,250.12,7.72,71.632,0.19351,0.0692776654274434,0.09359483614697117,0.15032267115600462,0.08615598401945457,0.10776295020806415,0.07549096150381374,0.08475811424407187
2020-04-07,7113.37,44.2,163.24,248.61,7.547,70.338,0.19103,-0.015845542965453263,0.0034052213393871433,-0.004573449600585366,-0.006037102190948329,-0.02240932642487048,-0.018064552155461433,-0.012815875148571076
2020-04-08,7316.61,46.25,172.06,265.67,7.987,74.618,0.20078,0.028571549068866053,0.04638009049773739,0.054030874785591765,0.06862153573870722,0.05830131177951503,0.060849043191447016,0.05103910380568477
2020-04-09,7302.0,46.16,170.38,256.74,7.974,83.267,0.19871,-0.001996826399111029,-0.0019459459459459927,-0.009764035801464677,-0.03361312906989877,-0.0016276449229998269,0.11591037015197414,-0.010309791811933366
2020-04-10,6917.23,42.38,159.35,233.46,7.374,73.141,0.18837,-0.05269378252533563,-0.08188908145580576,-0.06473764526352854,-0.09067539144659964,-0.07524454477050424,-0.12160880060528168,-0.05203562981228915
2020-04-11,6794.99,41.87,154.94,225.67,7.165,73.749,0.18608,-0.017671813717340612,-0.012033978291647096,-0.027674929400690274,-0.03336760044547249,-0.028342826145917988,0.008312711064929257,-0.012156925200403568
2020-04-12,7120.75,43.37,164.0,241.33,7.629,77.125,0.18891,0.04794120373981414,0.035825173155003665,0.058474248096037185,0.0693933619887448,0.06475924633635732,0.04577689189005962,0.015208512467755897
2020-04-13,6825.62,41.17,156.51,224.39,7.272,73.442,0.18837,-0.04144647684583791,-0.05072630850818527,-0.04567073170731717,-0.07019433970082467,-0.0467951238694454,-0.04775364667747173,-0.00285850404954735
2020-04-14,6870.39,41.16,158.99,222.14,7.242,72.178,0.18574,0.006559111113715765,-0.00024289531212062787,0.015845632866909654,-0.010027184812157364,-0.004125412541254203,-0.017210860270689743,-0.013961883527101038
2020-04-15,6755.75,40.48,157.57,222.14,7.165,72.497,0.1854,-0.016686097877995354,-0.016520894071914483,-0.008931379332033584,0.0,-0.010632421982877616,0.004419629249909907,-0.0018305157747388057
2020-04-16,7057.49,42.58,172.37,232.05,7.544,75.894,0.1904,0.044664174962069314,0.0518774703557312,0.09392650885320819,0.04461150625731536,0.05289602233077462,0.046857111328744816,0.026968716289104577
2020-04-17,7054.72,42.33,170.85,232.75,7.52,75.809,0.18949,-0.0003924908147230344,-0.005871301080319413,-0.00881823983291763,0.003016591251885359,-0.0031813361611876534,-0.0011199831343717825,-0.004779411764705976
2020-04-18,7226.77,43.64,183.21,244.06,7.855,79.33,0.1935,0.024387927515195473,0.030947318686510794,0.07234416154521517,0.048592910848549886,0.044547872340425565,0.04644567267738653,0.021162066599820673
